Function,Variant,Mean_τ,Std_τ,Efficiency
Schwefel (F1),Baseline,3.3281519006698312,1.3614605706679392,Medium
Schwefel (F1),Chaotic Init,1.3006604551999912,0.21654149126355485,High (Ballistic)
Schwefel (F1),Potential Field,5.021115230289665,1.9203609261227412,Low
Schwefel (F1),OBL,3.4859747268198533,1.5914037505035497,Medium
Schwefel (F1),Chaotic + PF,1.54064230982668,0.4752906500500046,High (Ballistic)
Schwefel (F1),Chaotic + OBL,1.2329646564405041,0.2130988439826232,High (Ballistic)
Schwefel (F1),PF + OBL,4.686793899569677,1.5336213089326092,Medium
Schwefel (F1),All Combined (COB-SSA),1.0634544274617503,0.0474758802649596,High (Ballistic)
Lunacek (F2),Baseline,3.214530981856761,0.5724380213123792,Medium
Lunacek (F2),Chaotic Init,4.579527452661347,0.7401699187910352,Medium
Lunacek (F2),Potential Field,3.7654492154980383,1.174906794438553,Medium
Lunacek (F2),OBL,3.237525332758441,1.349397037208383,Medium
Lunacek (F2),Chaotic + PF,4.614333444095634,1.8492941486372882,Medium
Lunacek (F2),Chaotic + OBL,2.312910317561089,1.4452657984622035,Medium
Lunacek (F2),PF + OBL,3.600694136256184,1.4567760936778282,Medium
Lunacek (F2),All Combined (COB-SSA),1.5793435810189553,0.18907623521838485,High (Ballistic)
Styblinski (F3),Baseline,7.108483118919985,1.8028772077933763,Low
Styblinski (F3),Chaotic Init,7.819150240611468,0.8338332611970627,Low
Styblinski (F3),Potential Field,4.504010927800698,1.8326917859147391,Medium
Styblinski (F3),OBL,7.073580944528665,2.410237590805697,Low
Styblinski (F3),Chaotic + PF,7.332256176186578,0.3257472547254036,Low
Styblinski (F3),Chaotic + OBL,7.736397211322161,1.6330601105444316,Low
Styblinski (F3),PF + OBL,3.9693892023914414,0.9212809766035679,Medium
Styblinski (F3),All Combined (COB-SSA),7.192054783524801,0.7611172152344655,Low
Qing (F4),Baseline,1.8614164672120608,0.21971930316882915,High (Ballistic)
Qing (F4),Chaotic Init,1.6544639822093388,0.1724772449911139,High (Ballistic)
Qing (F4),Potential Field,4.006733422156214,0.3194193008675367,Medium
Qing (F4),OBL,3.302423270226695,0.6238060453056433,Medium
Qing (F4),Chaotic + PF,2.674858772870475,0.5940182815779357,Medium
Qing (F4),Chaotic + OBL,3.326625019203637,0.5107460010969929,Medium
Qing (F4),PF + OBL,4.539735714225162,0.4626587878394659,Medium
Qing (F4),All Combined (COB-SSA),4.2634870985653475,0.8428578502773154,Medium
Sphere (F5),Baseline,2.070293179677877,0.5238286106124245,Medium
Sphere (F5),Chaotic Init,1.9758195876337559,0.703007477528807,High (Ballistic)
Sphere (F5),Potential Field,3.9606145800588712,0.22826762296327996,Medium
Sphere (F5),OBL,3.33644470762536,0.8724428947030056,Medium
Sphere (F5),Chaotic + PF,3.2319860572776293,0.8969047452539851,Medium
Sphere (F5),Chaotic + OBL,3.137262413579538,1.1875209097635344,Medium
Sphere (F5),PF + OBL,4.378464100743289,0.26236557963644674,Medium
Sphere (F5),All Combined (COB-SSA),4.719794844205872,0.8476742534521863,Medium
