variant,run,fitness,time_s
Baseline (base),1,791.4436099558766,0.7577753067016602
Baseline (base),2,791.4436099558766,0.7758986949920654
Baseline (base),3,791.4436099558766,0.6852235794067383
Base + Chaotic Init,1,614.4329938820692,0.556262731552124
Base + Chaotic Init,2,614.4329938820692,0.5619626045227051
Base + Chaotic Init,3,614.4329938820692,0.9140267372131348
Base + Potential Field,1,1290.2731844026628,0.7694215774536133
Base + Potential Field,2,1290.2731844026628,0.7046449184417725
Base + Potential Field,3,1290.2731844026628,0.5672833919525146
Base + Opposition-Based Learning,1,925.3384205923616,0.7032294273376465
Base + Opposition-Based Learning,2,925.3384205923616,0.7057013511657715
Base + Opposition-Based Learning,3,925.3384205923616,0.7919049263000488
All Combined,1,399.12930334673047,1.0181584358215332
All Combined,2,399.12930334673047,1.0568158626556396
All Combined,3,399.12930334673047,1.044874668121338
